RIn1[nm]	E[eV/atom]
0.07101292000000001	30.416249464457724
0.07494584	29.47767143767611
0.07887875999999999	28.604389927612253
0.08281168000000001	27.788120123881754
0.0867446	27.02203139309186
0.09067752000000001	26.300433912042877
0.09461044	25.618543603039964
0.09854336000000001	24.972303418142427
0.10247628	24.358245780342266
0.1064092	23.773385497037527
0.11034212000000002	23.215135519010886
0.11427504000000001	22.681240026078726
0.11820796000000001	22.169720795282345
0.12214088	21.678833853321407
0.1260738	21.207034166023004
0.13000672000000002	20.752946663427327
0.13393964	20.315342300035994
0.13787255999999998	19.893118147370583
0.14180548000000004	19.48528073900381
0.14573840000000002	19.09093205686171
0.14967132000000002	18.709257676200316
0.15360424	18.339516685526245
0.15753716	17.98103307431376
0.16147008000000002	17.633188341119386
0.16540300000000002	17.2954151216302
0.16933592000000003	16.967191673288152
0.17326884	16.64803708265191
0.17720176	16.337507085277238
0.18113468000000005	16.035190406902608
0.18506760000000003	15.740705550101394
0.18900052	15.453697963062888
0.19293344000000004	15.173837537377834
0.19686636000000005	14.90081639008862
0.20079928000000002	14.63434689217692
0.20473220000000006	14.37415991138636
0.20866511999999998	14.120003242037606
0.21259804000000002	13.871640198466299
0.21653096000000002	13.628848352044406
0.22046388	13.391418394545084
0.22439680000000004	13.1591531129746
0.22832972	12.931866462996293
0.23226264000000005	12.709382729771162
0.23619556	12.49153576648935
0.24012848000000003	12.278168302105081
0.2440614	12.069131310849581
0.24799432	11.864283437009512
0.25192724000000005	11.663490469246057
0.25586016	11.466624859409428
0.25979308000000007	11.273565281393864
0.26372600000000007	11.084196226090082
0.26765892	10.898407628938365
0.27159184000000003	10.71609452697463
0.27552476	10.537156742602743
0.27945768000000004	10.361498591624407
0.28339060000000005	10.189028613321057
0.28732352	10.019659320612258
0.29125644000000006	9.85330696851943
0.29518936	9.689891339343621
0.29912228	9.529335543125296
0.3030552	9.371565832095602
0.30698812	9.216511427954437
0.31092104000000004	9.064104360922043
0.31485396	8.914279319611087
0.31878688000000005	8.766973510854775
0.32271980000000006	8.622126528706797
0.32665272	8.479680231899424
0.33058564000000007	8.33957862911125
0.33451856	8.201767771452392
0.33845148	8.066195651627737
0.3423844000000001	7.932812109284871
0.34631732	7.801568742095675
0.35025024	7.672418822158466
0.35418316000000005	7.545317217342243
0.35811608	7.4202203172251675
0.362049	7.297085963308463
0.36598192	7.175873383211885
0.36991484	7.056543128580476
0.37384776000000003	6.939057016453797
0.37778068000000004	6.8233780738677865
0.38171360000000004	6.70947048547705
0.38564652000000005	6.597299544001874
0.38957944000000005	6.48683160331853
0.39351236000000006	6.378034034025152
0.39744528000000007	6.270875181327629
0.4013782000000001	6.165324325101533
0.40531111999999997	6.061351641996108
0.40924404000000003	5.958928169456092
0.41317696000000004	5.858025771545988
0.41710988	5.758617106469169
0.42104280000000005	5.6606755956819
0.42497572	5.564175394508917
0.42890864	5.469091364173952
0.43284156000000007	5.375399045163773
0.43677448	5.283074631850361
0.4407074	5.1920949483003405
0.44464032000000003	5.1024374252055935
0.44857324000000004	5.014080077873215
0.4525061600000001	4.927001485216882
0.45643908000000005	4.841180769695457
0.46037200000000006	4.7565975781479235
0.46430492000000007	4.673232063477089
0.46823784	4.591064867137183
0.47217076	4.5100771023833985
0.4761036800000001	4.430250338243994
0.4800366000000001	4.351566584177741
0.48396952000000004	4.274008275381879
0.48790244000000005	4.197558258717731
0.49183536000000005	4.122199779223035
0.49576828	4.047916467181972
0.4997012000000001	3.974692325725277
0.5036341200000001	3.9025117189347025
0.5075670400000001	3.83135936042728
0.5114999600000001	3.761220302396419
0.5154328800000001	3.692079925087972
0.5193658000000001	3.6239239266908996
0.5232987200000001	3.556738313622718
0.5272316400000001	3.4905093911917593
0.5311645600000001	3.4252237546185764
0.5350974800000001	3.3608682804000303
0.5390304	3.297430118000676
0.54296332	3.2348966818563145
0.54689624	3.1732556436760824
0.5508291600000002	3.112494925029578
0.5547620800000002	3.0526026902064576
0.558695	2.9935673393365576
0.5626279200000001	2.9353775017593158
0.5665608400000001	2.87802202963144
0.5704937600000002	2.8214899917629417
0.5744266800000002	2.7657706676715446
0.5783596000000001	2.7108535418462303
0.5822925200000001	2.6567282982113536
0.5862254400000001	2.603384814782663
0.5901583600000001	2.5508131585074985
0.5940912800000002	2.499003580281366
0.5980242000000001	2.4479465101338995
0.6019571200000001	2.397632552577189
0.6058900400000001	2.3480524821098303
0.6098229600000001	2.2991972388707556
0.6137558800000001	2.25105792443642
0.6176888000000001	2.2036257977562315
0.62162172	2.1568922712201655
0.62555464	2.110848906853887
0.6294875600000001	2.0654874126362195
0.6334204800000001	2.020799638934257
0.6373534000000001	1.9767775750515177
0.6412863200000001	1.9334133458850449
0.6452192400000001	1.8906992086871064
0.6491521600000001	1.8486275499276914
0.6530850800000001	1.8071908822539449
0.6570180000000001	1.7663818415429962
0.6609509200000001	1.7261931840446874
0.6648838400000001	1.6866177836108864
0.6688167600000001	1.6476486290082502
0.6727496800000001	1.6092788213114044
0.6766826000000001	1.571501571373565
0.68061552	1.5343101973720064
0.6845484400000001	1.4976981224253354
0.6884813600000002	1.4616588722805108
0.6924142800000002	1.4261860730667433
0.6963472000000002	1.3912734491140615
0.7002801200000001	1.3569148208344064
0.7042130400000002	1.3231041026628283
0.7081459600000002	1.2898353010570176
0.7120788800000002	1.2571025125528301
0.7160118000000002	1.2248999218742753
0.7199447200000001	1.1932218000956798
0.7238776400000001	1.16206250285469
0.7278105600000002	1.1314164686141215
0.7317434800000002	1.1012782169711386
